Country,Gold,Silver,Bronze,Total
JPN,7,2,4,13
CHN,8,6,2,16
AUS,6,4,3,13
FRA,6,9,6,21
KOR,5,3,3,11
USA,4,12,11,27
GBR,6,6,5,17
ITA,3,6,4,13
CAN,2,2,2,6
HKG,2,0,1,3
GER,2,0,1,3
NED,1,1,0,2
KAZ,1,0,2,3
RSA,1,0,2,3

